angle,heading,timestamp
40,127,2022-8-26 4:23:15 PM
40,128,2022-8-26 4:23:30 PM
40,128,2022-8-26 4:23:44 PM
40,128,2022-8-26 4:24:02 PM
40,128,2022-8-26 4:24:20 PM
40,128,2022-8-26 4:24:39 PM
40,127,2022-8-26 4:24:52 PM
39,128,2022-8-26 4:25:07 PM
40,128,2022-8-26 4:25:31 PM
40,128,2022-8-26 4:25:49 PM
40,128,2022-8-26 4:26:10 PM
40,127,2022-8-26 4:26:30 PM
40,128,2022-8-26 4:26:43 PM
40,128,2022-8-26 4:26:44 PM
40,128,2022-8-26 4:26:53 PM
40,128,2022-8-26 4:27:21 PM
40,128,2022-8-26 4:27:48 PM
40,128,2022-8-26 4:28:13 PM
40,128,2022-8-26 4:28:35 PM
40,128,2022-8-26 4:28:56 PM
40,128,2022-8-26 4:29:27 PM
40,128,2022-8-26 4:30:02 PM
39,128,2022-8-26 4:30:27 PM
39,128,2022-8-26 4:30:27 PM
40,128,2022-8-26 4:30:33 PM
40,128,2022-8-26 4:31:02 PM
40,128,2022-8-26 4:31:39 PM
39,127,2022-8-26 4:32:03 PM
39,128,2022-8-26 4:32:19 PM
39,128,2022-8-26 4:32:53 PM
40,128,2022-8-26 4:33:41 PM
40,128,2022-8-26 4:34:10 PM
40,128,2022-8-26 4:34:11 PM
40,128,2022-8-26 4:34:14 PM
40,128,2022-8-26 4:34:51 PM
40,128,2022-8-26 4:35:26 PM
40,128,2022-8-26 4:35:45 PM
40,128,2022-8-26 4:36:02 PM
39,128,2022-8-26 4:36:05 PM
40,128,2022-8-26 4:36:36 PM
39,127,2022-8-26 4:36:57 PM
39,128,2022-8-26 4:37:05 PM
40,128,2022-8-26 4:37:28 PM
40,128,2022-8-26 4:37:54 PM
40,129,2022-8-26 4:37:54 PM
40,128,2022-8-26 4:38:03 PM
40,128,2022-8-26 4:38:40 PM
40,129,2022-8-26 4:38:49 PM
39,128,2022-8-26 4:38:57 PM
40,128,2022-8-26 4:39:21 PM
40,128,2022-8-26 4:39:48 PM
40,128,2022-8-26 4:40:14 PM
40,128,2022-8-26 4:40:41 PM
40,128,2022-8-26 4:40:45 PM
40,128,2022-8-26 4:41:18 PM
40,128,2022-8-26 4:41:37 PM
40,128,2022-8-26 4:41:41 PM
40,128,2022-8-26 4:42:18 PM
40,128,2022-8-26 4:42:32 PM
40,128,2022-8-26 4:42:44 PM
40,128,2022-8-26 4:43:11 PM
40,128,2022-8-26 4:43:45 PM
39,128,2022-8-26 4:44:15 PM
39,128,2022-8-26 4:44:24 PM
40,128,2022-8-26 4:44:45 PM
39,128,2022-8-26 4:45:17 PM
40,128,2022-8-26 4:45:21 PM
40,127,2022-8-26 4:45:32 PM
40,128,2022-8-26 4:46:01 PM
39,128,2022-8-26 4:46:16 PM
40,128,2022-8-26 4:46:19 PM
40,128,2022-8-26 4:46:51 PM
40,128,2022-8-26 4:47:26 PM
40,128,2022-8-26 4:48:03 PM
40,128,2022-8-26 4:48:16 PM
40,128,2022-8-26 4:48:59 PM
40,128,2022-8-26 4:49:04 PM
40,128,2022-8-26 4:49:24 PM
40,128,2022-8-26 4:49:59 PM
40,128,2022-8-26 4:50:40 PM
40,127,2022-8-26 4:51:38 PM
40,128,2022-8-26 4:52:07 PM
40,128,2022-8-26 4:52:48 PM
39,128,2022-8-26 4:52:55 PM
39,128,2022-8-26 4:53:37 PM
40,128,2022-8-26 4:53:46 PM
40,128,2022-8-26 4:54:24 PM
40,128,2022-8-26 4:54:38 PM
40,128,2022-8-26 4:55:25 PM
40,128,2022-8-26 4:56:11 PM
40,128,2022-8-26 4:56:30 PM
40,128,2022-8-26 4:56:31 PM
40,128,2022-8-26 4:56:38 PM
40,128,2022-8-26 4:57:17 PM
40,128,2022-8-26 4:58:13 PM
40,127,2022-8-26 4:58:17 PM
40,128,2022-8-26 4:58:17 PM
40,128,2022-8-26 4:58:19 PM
40,128,2022-8-26 4:58:19 PM
40,128,2022-8-26 4:58:19 PM
40,128,2022-8-26 4:58:19 PM
40,128,2022-8-26 4:58:20 PM
40,128,2022-8-26 4:58:20 PM
40,128,2022-8-26 4:58:20 PM
40,128,2022-8-26 4:58:20 PM
40,128,2022-8-26 4:58:21 PM
40,128,2022-8-26 4:58:21 PM
40,128,2022-8-26 4:58:21 PM
40,127,2022-8-26 4:58:21 PM
40,128,2022-8-26 4:58:21 PM
40,128,2022-8-26 4:58:22 PM
40,128,2022-8-26 4:58:22 PM
40,128,2022-8-26 4:58:22 PM
40,127,2022-8-26 4:58:22 PM
40,128,2022-8-26 4:58:23 PM
40,128,2022-8-26 4:58:23 PM
40,128,2022-8-26 4:58:23 PM
40,128,2022-8-26 4:58:23 PM
40,128,2022-8-26 4:58:23 PM
40,127,2022-8-26 4:58:24 PM
40,128,2022-8-26 4:58:24 PM
40,127,2022-8-26 4:58:24 PM
40,128,2022-8-26 4:58:24 PM
40,128,2022-8-26 4:58:25 PM
40,128,2022-8-26 4:58:25 PM
40,128,2022-8-26 4:58:25 PM
40,128,2022-8-26 4:58:25 PM
40,128,2022-8-26 4:58:25 PM
40,128,2022-8-26 4:58:26 PM
40,127,2022-8-26 4:58:26 PM
40,128,2022-8-26 4:58:26 PM
40,128,2022-8-26 4:58:26 PM
40,128,2022-8-26 4:58:27 PM
40,128,2022-8-26 4:58:27 PM
40,128,2022-8-26 4:58:27 PM
40,128,2022-8-26 4:58:27 PM
40,128,2022-8-26 4:58:27 PM
40,127,2022-8-26 4:58:28 PM
40,128,2022-8-26 4:58:28 PM
40,128,2022-8-26 4:58:28 PM
40,128,2022-8-26 4:58:28 PM
40,128,2022-8-26 4:58:29 PM
40,129,2022-8-26 4:58:29 PM
40,127,2022-8-26 4:58:29 PM
40,128,2022-8-26 4:58:29 PM
40,128,2022-8-26 4:58:29 PM
40,128,2022-8-26 4:58:30 PM
40,128,2022-8-26 4:58:30 PM
40,128,2022-8-26 4:58:30 PM
40,128,2022-8-26 4:58:30 PM
40,128,2022-8-26 4:58:31 PM
40,128,2022-8-26 4:58:31 PM
40,128,2022-8-26 4:58:31 PM
40,127,2022-8-26 4:58:31 PM
40,128,2022-8-26 4:58:31 PM
40,128,2022-8-26 4:58:32 PM
39,128,2022-8-26 4:58:32 PM
39,127,2022-8-26 4:58:32 PM
39,128,2022-8-26 4:58:32 PM
40,128,2022-8-26 4:58:33 PM
40,129,2022-8-26 4:58:33 PM
40,128,2022-8-26 4:58:33 PM
40,128,2022-8-26 4:58:33 PM
40,128,2022-8-26 4:58:34 PM
40,128,2022-8-26 4:58:34 PM
40,128,2022-8-26 4:58:34 PM
40,128,2022-8-26 4:58:34 PM
40,127,2022-8-26 4:58:34 PM
40,128,2022-8-26 4:58:35 PM
40,128,2022-8-26 4:58:35 PM
40,128,2022-8-26 4:58:35 PM
40,128,2022-8-26 4:58:35 PM
40,128,2022-8-26 4:58:36 PM
40,128,2022-8-26 4:58:36 PM
40,128,2022-8-26 4:58:36 PM
40,128,2022-8-26 4:58:36 PM
40,128,2022-8-26 4:58:36 PM
40,128,2022-8-26 4:58:37 PM
40,128,2022-8-26 4:58:37 PM
40,128,2022-8-26 4:58:37 PM
40,128,2022-8-26 4:58:37 PM
40,127,2022-8-26 4:58:38 PM
40,128,2022-8-26 4:58:38 PM
40,128,2022-8-26 4:58:38 PM
40,128,2022-8-26 4:58:38 PM
40,128,2022-8-26 4:58:38 PM
40,128,2022-8-26 4:58:39 PM
40,128,2022-8-26 4:58:39 PM
40,128,2022-8-26 4:58:39 PM
40,128,2022-8-26 4:58:39 PM
40,128,2022-8-26 4:58:40 PM
40,128,2022-8-26 4:58:40 PM
40,128,2022-8-26 4:58:40 PM
40,127,2022-8-26 4:58:40 PM
40,128,2022-8-26 4:58:40 PM
40,127,2022-8-26 4:58:41 PM
40,128,2022-8-26 4:58:41 PM
40,128,2022-8-26 4:58:41 PM
40,128,2022-8-26 4:58:41 PM
39,129,2022-8-26 4:58:42 PM
40,128,2022-8-26 4:58:42 PM
40,128,2022-8-26 4:58:42 PM
40,128,2022-8-26 4:58:42 PM
40,128,2022-8-26 4:58:42 PM
40,128,2022-8-26 4:58:43 PM
40,127,2022-8-26 4:58:43 PM
40,129,2022-8-26 4:58:43 PM
40,128,2022-8-26 4:58:43 PM
40,127,2022-8-26 4:58:44 PM
40,128,2022-8-26 4:58:44 PM
40,128,2022-8-26 4:58:44 PM
40,128,2022-8-26 4:58:44 PM
40,128,2022-8-26 4:58:44 PM
40,128,2022-8-26 4:58:45 PM
40,129,2022-8-26 4:58:45 PM
40,128,2022-8-26 4:58:45 PM
40,128,2022-8-26 4:58:45 PM
40,128,2022-8-26 4:58:46 PM
40,128,2022-8-26 4:58:46 PM
40,128,2022-8-26 4:58:46 PM
40,128,2022-8-26 4:58:46 PM
40,128,2022-8-26 4:58:46 PM
39,128,2022-8-26 4:58:47 PM
39,129,2022-8-26 4:58:47 PM
39,128,2022-8-26 4:58:47 PM
40,128,2022-8-26 4:58:47 PM
40,128,2022-8-26 4:58:48 PM
40,128,2022-8-26 4:58:48 PM
40,128,2022-8-26 4:58:48 PM
40,128,2022-8-26 4:58:48 PM
40,128,2022-8-26 4:58:48 PM
40,128,2022-8-26 4:58:49 PM
40,128,2022-8-26 4:58:49 PM
40,128,2022-8-26 4:58:49 PM
40,128,2022-8-26 4:58:49 PM
40,128,2022-8-26 4:58:50 PM
40,128,2022-8-26 4:58:50 PM
40,128,2022-8-26 4:58:50 PM
40,128,2022-8-26 4:58:50 PM
40,128,2022-8-26 4:58:50 PM
40,128,2022-8-26 4:58:51 PM
40,128,2022-8-26 4:58:51 PM
40,128,2022-8-26 4:58:51 PM
40,128,2022-8-26 4:58:51 PM
40,128,2022-8-26 4:58:52 PM
40,128,2022-8-26 4:58:52 PM
40,128,2022-8-26 4:58:52 PM
39,128,2022-8-26 4:58:52 PM
39,128,2022-8-26 4:58:52 PM
39,128,2022-8-26 4:58:53 PM
40,128,2022-8-26 4:58:53 PM
40,128,2022-8-26 4:58:53 PM
40,128,2022-8-26 4:58:53 PM
40,128,2022-8-26 4:58:54 PM
40,128,2022-8-26 4:58:54 PM
40,127,2022-8-26 4:58:54 PM
40,128,2022-8-26 4:58:54 PM
40,127,2022-8-26 4:58:55 PM
40,128,2022-8-26 4:58:55 PM
40,128,2022-8-26 4:58:55 PM
40,128,2022-8-26 4:58:55 PM
40,128,2022-8-26 4:58:55 PM
40,128,2022-8-26 4:58:56 PM
40,128,2022-8-26 4:58:56 PM
40,128,2022-8-26 4:58:56 PM
40,128,2022-8-26 4:58:56 PM
40,127,2022-8-26 4:58:57 PM
40,128,2022-8-26 4:58:57 PM
40,128,2022-8-26 4:58:57 PM
40,128,2022-8-26 4:58:57 PM
39,128,2022-8-26 4:58:57 PM
39,128,2022-8-26 4:58:58 PM
39,128,2022-8-26 4:58:58 PM
40,128,2022-8-26 4:58:58 PM
40,128,2022-8-26 4:58:58 PM
40,128,2022-8-26 4:58:59 PM
40,128,2022-8-26 4:58:59 PM
40,128,2022-8-26 4:58:59 PM
40,128,2022-8-26 4:58:59 PM
40,127,2022-8-26 4:58:59 PM
40,128,2022-8-26 4:59:00 PM
40,127,2022-8-26 4:59:00 PM
40,128,2022-8-26 4:59:00 PM
40,128,2022-8-26 4:59:00 PM
40,127,2022-8-26 4:59:01 PM
40,127,2022-8-26 4:59:01 PM
